Category,Action Title,Description,Impact Scale,Star
Compliance & Policy Adherence,Review & Update of Policies,"Participating in refining or clarifying procedures.",11,
Administrative & Documentation Tasks,Filing & Record Keeping,"Organizing documents (digital or physical) for easy retrieval.",11,
Administrative & Documentation Tasks,Data Entry,"Inputting accurate information into databases or spreadsheets.",11,
Administrative & Documentation Tasks,Scheduling & Calendar Management,"Coordinating appointments, meeting times, and reminders.",12,
Administrative & Documentation Tasks,Invoice Processing,"Reviewing and approving bills or expense reports.",12,
Administrative & Documentation Tasks,Travel Arrangements,"Booking flights, accommodations, and handling itineraries.",11,
Administrative & Documentation Tasks,Contract Management,"Drafting, reviewing, and archiving agreements.",12,
Administrative & Documentation Tasks,Paperwork Verification,"Ensuring documents are correct and complete.",11,
Administrative & Documentation Tasks,Maintaining Office Supplies,"Tracking inventory and reordering essential items.",10,
Administrative & Documentation Tasks,Policy & Procedure Updates,"Revising internal guidelines as processes evolve.",11,
Administrative & Documentation Tasks,Meeting Minutes & Action Logs,"Recording key points and follow-up items to ensure accountability.",12,
Networking & Relationship Building,Industry Conference Attendance,"Participating in external events to meet peers and learn about trends.",11,
Networking & Relationship Building,Professional Association Memberships,"Joining relevant groups (e.g., HR, marketing) for resources and contacts.",10,
Networking & Relationship Building,Social Media Presence,"Using LinkedIn or similar to maintain professional relationships.",10,
Networking & Relationship Building,Referral Exchanges,"Sharing leads or contacts for mutual advantage.",11,
Networking & Relationship Building,Community Outreach,"Engaging with local organizations or nonprofits to build goodwill.",10,
Networking & Relationship Building,Internal Networking Events,"Attending company socials or cross-team gatherings.",11,
Networking & Relationship Building,Mentorship Circles,"Participating in group programs for skill-sharing and connections.",11,
Networking & Relationship Building,Client/Partner Visits,"Meeting partners in person to strengthen business relationships.",12,
Networking & Relationship Building,Alumni Networking,"Staying connected with former colleagues or school alumni for collaboration.",10,
Networking & Relationship Building,Collaborative Projects,"Working jointly with external entities for research or development.",12,
Research & Market Analysis,Competitor Benchmarking,"Comparing competitor offerings, pricing, and strategies.",10,
Research & Market Analysis,Customer Persona Development,"Creating detailed profiles for target audience segments.",10,
Research & Market Analysis,Survey Deployment,"Collecting data through questionnaires to understand market needs.",9,
Research & Market Analysis,Focus Groups,"Gathering qualitative feedback from selected participants.",9,
Research & Market Analysis,Industry Report Analysis,"Reviewing authoritative publications for insights on trends.",10,
Research & Market Analysis,Trend Forecasting,"Predicting market shifts using observed patterns.",10,
Research & Market Analysis,Data Mining,"Extracting patterns from large datasets for better decisions.",11,
Research & Market Analysis,Field Research,"Conducting market visits or in-person investigations for firsthand info.",9,
Research & Market Analysis,SWOT for New Markets,"Evaluating strengths, weaknesses, opportunities, threats before expansions.",10,
Research & Market Analysis,Reporting Insights to Stakeholders,"Summarizing findings with actionable recommendations.",11,
Routine Maintenance & Housekeeping,Cleaning Workstations,"Keeping desks, computers, and communal areas tidy.",7,
Routine Maintenance & Housekeeping,Basic Equipment Checks,"Inspecting office machines for minor issues or malfunctions.",7,
Routine Maintenance & Housekeeping,Organizing Shared Spaces,"Maintaining order in meeting rooms and break areas.",6,
Routine Maintenance & Housekeeping,Waste Management & Recycling,"Disposing of trash properly and sorting recyclable materials.",6,
Routine Maintenance & Housekeeping,Replenishing Consumables,"Restocking ink, paper, or snacks as needed.",7,
Routine Maintenance & Housekeeping,Basic Safety Checks,"Confirming emergency exits and equipment are functional.",8,
Routine Maintenance & Housekeeping,Desk Sanitization Routines,"Regularly wiping surfaces to maintain cleanliness.",7,
Routine Maintenance & Housekeeping,Light Maintenance Tasks,"Changing bulbs, tightening screws, or minor fixture repairs.",6,
Routine Maintenance & Housekeeping,Cleaning Up After Events,"Restoring areas and disposing waste post-meetings or celebrations.",6,
Routine Maintenance & Housekeeping,Reporting Larger Issues,"Alerting facilities management of major plumbing or electrical problems.",8
